HOME_HT_FG3M,HOME_HT_FG3A,HOME_HT_FTM,HOME_HT_FTA,HOME_HT_OREB,HOME_HT_DREB,HOME_HT_AST,HOME_HT_STL,HOME_HT_BLK,HOME_HT_TO,HOME_HT_PF,HOME_HT_PTS,HOME_HT_FG2M,HOME_HT_FG2A,HOME_HT_Best_PTS_Player,HOME_HT_Second_Best_PTS_Player,HOME_HT_Best__Players_PF,AWAY_HT_FG3M,AWAY_HT_FG3A,AWAY_HT_FTM,AWAY_HT_FTA,AWAY_HT_OREB,AWAY_HT_DREB,AWAY_HT_AST,AWAY_HT_STL,AWAY_HT_BLK,AWAY_HT_TO,AWAY_HT_PF,AWAY_HT_PTS,AWAY_HT_FG2M,AWAY_HT_FG2A,AWAY_HT_Best_PTS_Player,AWAY_HT_Second_Best_PTS_Player,AWAY_HT_Best__Players_PF,HOME_FT_FG3M,HOME_FT_FG3A,HOME_FT_FTM,HOME_FT_FTA,HOME_FT_OREB,HOME_FT_DREB,HOME_FT_AST,HOME_FT_STL,HOME_FT_BLK,HOME_FT_TO,HOME_FT_PF,HOME_FT_PTS,HOME_FT_FG2M,HOME_FT_FG2A,HOME_FT_Best_PTS_Player,HOME_FT_Second_Best_PTS_Player,AWAY_FT_FG3M,AWAY_FT_FG3A,AWAY_FT_FTM,AWAY_FT_FTA,AWAY_FT_OREB,AWAY_FT_DREB,AWAY_FT_AST,AWAY_FT_STL,AWAY_FT_BLK,AWAY_FT_TO,AWAY_FT_PF,AWAY_FT_PTS,AWAY_FT_FG2M,AWAY_FT_FG2A,AWAY_FT_Best_PTS_Player,AWAY_FT_Second_Best_PTS_Player,HOME,AWAY,GAME_ID,tot_HT,tot,date,game_time
2,6,8,9,2,16,10,3,0,7,5,56,21,30,16,9,0.666666667,5,11,4,5,7,12,7,4,0,6,10,47,14,31,15,9,2,3,12,23,28,8,34,19,4,2,13,16,104,36,58,25,24,11,22,15,21,10,25,14,8,1,9,22,96,24,58,22,19,BKN,BOS,21300314,103,200,"TUESDAY, DECEMBER 10, 2013",02:19
2,8,4,6,7,17,14,2,4,7,10,42,16,38,18,9,1.5,2,7,5,8,5,16,9,0,7,8,6,35,12,29,12,7,0.5,3,15,9,14,13,29,21,7,8,18,23,74,28,68,24,21,2,11,16,20,12,27,14,7,11,15,16,78,28,64,25,19,CHI,MIL,21300316,77,152,"TUESDAY, DECEMBER 10, 2013",02:14
4,12,1,3,6,11,15,3,3,11,14,51,19,32,16,10,0.5,5,10,17,21,8,15,18,8,0,8,7,64,16,30,19,12,0.5,8,28,8,16,11,28,22,4,5,20,24,94,31,55,20,17,11,24,28,33,14,32,31,12,0,12,16,121,30,61,26,18,DET,MIN,21300315,115,215,"TUESDAY, DECEMBER 10, 2013",02:06
2,9,9,13,3,14,10,2,3,7,8,51,18,31,13,10,1,4,11,4,5,4,16,12,4,1,6,10,56,20,33,17,11,1,5,19,25,32,7,26,22,7,3,11,20,108,34,61,20,19,7,23,19,21,10,33,24,6,3,13,22,114,37,62,31,22,LAL,PHX,21300317,107,222,"TUESDAY, DECEMBER 10, 2013",02:16
2,6,10,11,4,15,11,5,6,7,7,42,13,34,8,8,1.5,0,8,5,5,10,19,10,6,2,9,9,43,19,42,12,10,0.5,4,17,17,18,9,32,23,6,7,10,14,83,27,67,12,11,7,19,9,9,14,38,18,6,4,14,17,92,31,71,17,17,CHA,ORL,21300318,85,175,"WEDNESDAY, DECEMBER 11, 2013",02:07
2,8,7,9,2,19,12,5,3,8,8,45,16,35,15,15,1,1,5,8,13,3,16,9,4,3,9,9,39,14,32,13,12,0,6,17,16,19,8,32,20,5,5,16,23,88,27,63,29,20,6,17,22,34,8,29,20,9,6,13,17,96,28,59,22,21,BOS,LAC,21300319,84,184,"WEDNESDAY, DECEMBER 11, 2013",02:15
3,7,9,13,4,14,9,4,0,9,12,42,12,34,13,12,0.5,5,11,16,18,4,17,12,5,4,11,11,57,13,25,16,15,1.5,6,15,26,34,9,24,17,11,3,12,25,100,28,66,20,17,9,18,27,33,8,34,22,8,5,21,27,118,32,54,27,18,MEM,OKC,21300320,99,218,"WEDNESDAY, DECEMBER 11, 2013",02:16
1,6,13,17,9,10,8,7,2,9,4,48,16,40,15,14,0.5,6,11,3,3,4,18,15,6,3,13,12,61,20,31,13,12,1,7,20,25,29,17,28,23,9,2,13,15,106,30,76,26,21,9,20,12,14,5,32,22,7,7,26,25,99,30,54,20,20,MIN,PHI,21300322,109,205,"WEDNESDAY, DECEMBER 11, 2013",02:12
1,7,9,11,8,7,9,5,1,6,11,40,14,37,10,8,1.5,4,13,9,11,9,19,14,3,2,9,8,63,21,31,16,11,1.5,2,15,17,23,16,21,16,7,4,12,18,77,27,69,18,15,4,17,13,17,17,35,25,8,2,15,21,109,42,71,21,15,MIL,SAS,21300321,103,186,"WEDNESDAY, DECEMBER 11, 2013",01:59
3,7,12,14,8,17,11,6,2,7,8,57,18,34,12,11,0,4,10,9,12,2,11,7,3,2,7,9,51,15,27,14,11,0.5,7,20,19,22,16,31,20,8,5,13,21,96,28,61,19,18,4,18,16,25,11,27,15,8,6,11,14,96,34,65,23,23,NOP,DET,21300323,108,192,"WEDNESDAY, DECEMBER 11, 2013",02:31
3,11,7,8,4,17,12,9,6,5,8,46,15,29,15,10,2,3,9,7,10,11,15,6,3,3,12,8,32,8,29,14,6,1,5,19,16,19,10,29,17,16,7,13,21,83,26,57,30,14,6,21,24,29,16,32,12,9,7,22,19,78,18,51,20,12,NYK,CHI,21300324,78,161,"WEDNESDAY, DECEMBER 11, 2013",02:36
2,6,8,10,7,12,7,1,1,8,10,46,16,36,11,9,1.5,4,9,4,5,4,15,19,5,5,3,10,58,21,34,8,8,2,4,13,27,33,13,27,13,2,4,12,20,101,31,65,21,20,13,24,13,15,12,27,35,7,8,6,27,122,35,66,20,17,SAC,UTA,21300325,104,223,"WEDNESDAY, DECEMBER 11, 2013",02:15
5,13,5,8,5,20,8,3,4,10,7,44,12,30,11,9,1,6,13,3,3,5,20,14,6,2,6,7,55,17,37,15,13,1,12,28,9,15,14,36,20,6,6,18,18,95,25,58,33,17,8,23,11,14,8,35,24,9,4,11,15,93,29,65,21,21,GSW,DAL,21300326,99,188,"WEDNESDAY, DECEMBER 11, 2013",02:20
2,12,11,13,7,21,8,1,4,8,9,43,13,34,8,8,1,1,10,7,8,6,22,5,6,3,4,11,44,17,39,12,11,1,8,27,25,30,15,37,22,4,7,14,20,111,31,62,31,18,5,20,19,24,15,33,16,11,6,8,23,104,35,74,32,25,POR,HOU,21300328,87,215,"THURSDAY, DECEMBER 12, 2013",02:25
4,7,18,18,4,18,10,4,0,6,13,56,13,32,13,12,1,3,11,11,18,4,18,8,3,1,10,11,44,12,27,14,9,2,8,20,28,30,5,37,18,5,0,13,31,102,25,54,21,21,6,24,35,52,9,34,15,6,1,14,20,93,20,46,20,19,BKN,LAC,21300327,100,195,"THURSDAY, DECEMBER 12, 2013",02:38
5,12,11,14,5,19,10,3,4,5,9,56,15,28,12,10,0,3,7,8,11,4,15,10,4,2,3,11,55,19,37,9,7,0.666666667,8,22,19,25,6,38,19,6,10,12,21,99,28,55,20,18,4,12,12,17,8,30,19,5,4,11,19,94,35,71,21,13,IND,CHA,21300329,111,193,"FRIDAY, DECEMBER 13, 2013",02:10
6,14,9,10,3,18,15,6,1,6,4,51,12,28,10,9,1.5,5,12,3,4,3,20,11,3,2,9,8,50,16,31,16,9,1,11,30,15,16,8,37,22,7,5,12,21,100,26,55,26,17,8,21,17,20,7,37,18,6,3,10,16,109,34,66,31,21,ORL,CLE,21300330,101,209,"FRIDAY, DECEMBER 13, 2013",02:11
4,12,4,6,3,20,15,4,1,6,6,48,16,30,17,9,0.5,2,8,6,8,8,19,14,2,0,5,4,46,17,42,11,10,1,6,18,18,23,9,32,22,9,1,14,13,86,25,59,30,13,3,13,11,18,18,38,20,4,3,16,18,86,33,79,18,13,ATL,WAS,21300332,94,172,"FRIDAY, DECEMBER 13, 2013",02:25
6,13,10,11,2,17,15,6,2,10,9,56,14,24,15,15,1,5,9,5,8,7,12,10,4,1,13,10,48,14,32,13,11,0,10,25,20,24,10,37,24,8,5,15,19,108,29,57,27,24,9,23,17,21,12,30,19,7,5,17,18,100,28,61,23,21,TOR,PHI,21300331,104,208,"FRIDAY, DECEMBER 13, 2013",02:19
4,10,14,17,5,18,8,1,3,8,12,54,14,24,17,14,1,2,9,10,12,5,10,10,2,0,3,11,48,16,31,20,10,2,7,21,17,25,6,36,17,1,5,15,19,90,26,47,19,18,5,21,17,19,9,29,20,7,1,6,19,86,27,59,26,22,BOS,NYK,21300333,102,176,"FRIDAY, DECEMBER 13, 2013",02:11
1,5,14,19,6,15,12,2,2,3,10,61,22,42,18,16,1,3,8,9,11,2,16,11,0,3,9,14,44,13,28,10,9,1.5,3,10,22,31,9,34,23,2,4,13,21,103,36,73,22,22,12,23,15,20,7,31,24,4,4,12,25,99,24,56,22,20,DET,BKN,21300334,105,202,"FRIDAY, DECEMBER 13, 2013",02:27
5,14,11,11,9,20,17,8,3,6,10,66,20,36,22,15,1,4,14,3,7,8,12,15,3,1,10,9,51,18,35,12,9,2,8,25,20,23,20,39,34,14,8,14,25,122,39,74,31,19,7,25,18,31,15,26,26,7,4,19,17,97,29,62,17,15,OKC,LAL,21300336,117,219,"FRIDAY, DECEMBER 13, 2013",02:24
5,11,8,8,2,10,13,2,2,3,4,55,16,27,12,10,0,2,5,2,4,5,14,13,1,2,6,7,54,23,37,12,12,0,9,22,17,20,8,23,22,3,5,6,12,104,30,54,25,20,6,16,12,17,12,30,24,3,2,11,17,98,34,65,19,18,NOP,MEM,21300335,109,202,"FRIDAY, DECEMBER 13, 2013",02:06
3,6,10,12,7,12,9,3,5,8,10,51,16,32,12,10,1.5,4,12,7,10,9,12,15,6,2,8,10,47,14,28,11,10,1,4,10,20,25,13,25,18,6,8,14,19,90,29,64,17,15,7,24,16,19,17,27,26,8,6,15,22,91,27,57,21,16,MIL,CHI,21300337,98,181,"FRIDAY, DECEMBER 13, 2013",02:19
5,9,3,4,2,16,19,4,4,4,11,62,22,37,15,12,0.5,4,9,12,14,7,16,9,3,3,7,5,54,15,37,16,10,0.5,10,22,11,13,7,35,32,8,7,13,18,117,38,65,29,20,11,23,23,26,11,31,22,9,4,12,12,110,27,65,42,18,SAS,MIN,21300338,116,227,"FRIDAY, DECEMBER 13, 2013",02:00
3,11,5,11,6,19,13,2,7,5,7,44,15,32,13,9,1,7,14,4,4,10,16,15,5,2,3,9,53,14,37,14,11,0.5,7,21,14,24,12,34,22,7,11,8,23,93,29,64,17,17,8,21,19,20,11,33,24,6,6,10,21,103,30,63,30,19,DEN,UTA,21300339,97,196,"FRIDAY, DECEMBER 13, 2013",02:16
6,10,10,12,2,14,10,5,3,11,8,58,15,23,21,16,1,5,7,10,12,6,9,11,7,0,5,10,61,18,37,19,11,0.5,12,24,22,29,16,27,20,11,9,16,20,116,29,59,29,28,6,19,25,29,17,26,12,11,4,15,22,107,32,68,29,24,PHX,SAC,21300340,119,223,"FRIDAY, DECEMBER 13, 2013",02:21
2,9,11,14,6,21,11,3,3,10,12,51,17,31,17,9,1,7,16,9,13,3,14,12,6,1,6,10,58,14,27,14,13,2.5,6,22,20,24,19,37,22,6,6,18,30,112,37,68,23,20,12,29,26,35,7,25,20,10,3,15,23,116,27,50,26,23,GSW,HOU,21300341,109,228,"FRIDAY, DECEMBER 13, 2013",02:35
0,6,3,4,4,19,12,4,5,6,6,43,20,38,8,8,0,5,9,9,11,3,18,8,1,3,8,7,44,10,30,13,8,0.5,2,13,5,8,12,34,22,10,9,13,16,85,37,76,24,14,7,20,21,23,8,32,19,4,8,15,11,88,23,57,21,15,CHA,LAL,21300342,87,173,"SATURDAY, DECEMBER 14, 2013",02:05
1,7,7,13,5,12,8,2,2,7,8,46,18,33,14,8,1,5,12,12,12,2,14,17,5,2,4,12,59,16,25,18,11,1.5,3,14,14,20,9,24,21,6,3,13,26,97,37,67,24,16,9,21,26,31,5,29,27,9,3,10,20,113,30,48,38,17,WAS,LAC,21300343,105,210,"SATURDAY, DECEMBER 14, 2013",02:13
2,8,14,18,5,14,16,9,4,9,9,68,24,32,20,18,2,5,13,5,8,5,10,9,6,0,14,11,52,16,29,11,7,133.333.333.333,8,21,22,30,9,31,24,10,9,14,21,114,34,55,25,24,10,29,19,25,12,27,18,7,1,15,20,107,29,55,19,16,MIA,CLE,21300344,120,221,"SATURDAY, DECEMBER 14, 2013",02:19
3,9,4,5,11,9,7,8,0,5,7,57,22,41,15,10,0.5,4,11,8,8,4,13,10,2,1,14,10,48,14,21,13,10,1,8,19,15,18,15,17,19,14,1,11,16,111,36,68,35,23,15,32,11,11,6,28,22,6,1,27,24,106,25,34,27,18,NYK,ATL,21300345,105,217,"SATURDAY, DECEMBER 14, 2013",02:15
6,7,6,8,4,15,17,1,1,4,8,64,20,40,16,13,133.333.333.333,11,20,6,10,10,16,19,3,3,6,4,71,16,34,12,11,0,9,15,18,26,9,24,26,9,5,14,15,105,30,72,18,17,21,37,14,20,15,31,41,9,8,18,16,139,31,56,20,17,PHI,POR,21300347,135,244,"SATURDAY, DECEMBER 14, 2013",02:10
1,9,4,4,7,16,10,4,4,5,10,41,17,40,15,6,0.666666667,5,11,8,10,2,19,13,1,5,7,8,51,14,28,12,11,1.5,6,18,9,12,10,31,19,5,9,15,20,77,25,68,17,14,5,15,14,18,7,36,26,5,11,11,17,99,35,68,16,15,CHI,TOR,21300346,92,176,"SATURDAY, DECEMBER 14, 2013",02:01
7,16,6,9,6,18,14,5,0,7,9,59,16,31,16,11,1,3,11,8,9,4,19,3,4,1,11,7,41,12,28,14,8,1,10,24,12,18,12,33,25,9,3,16,18,106,32,64,19,18,5,17,16,19,8,34,15,8,4,16,15,93,31,64,18,16,DAL,MIL,21300348,100,199,"SATURDAY, DECEMBER 14, 2013",02:04
2,8,2,3,2,17,12,3,6,4,8,40,16,36,13,6,1,5,8,6,7,5,23,12,3,0,4,6,55,17,37,13,8,0,6,20,8,11,8,34,17,5,11,9,17,84,29,69,20,18,8,20,10,12,11,44,24,6,1,10,15,100,33,68,22,15,UTA,SAS,21300349,95,184,"SATURDAY, DECEMBER 14, 2013",01:57
3,9,16,19,4,16,5,5,2,7,12,57,16,32,16,11,1,3,11,10,20,6,16,8,4,2,11,14,49,15,26,17,12,1,3,13,25,30,7,36,17,8,6,15,25,106,36,68,26,21,7,28,22,38,11,31,15,6,5,17,26,91,24,48,25,19,SAC,HOU,21300350,106,197,"SUNDAY, DECEMBER 15, 2013",02:20
1,7,8,12,8,16,9,2,0,6,7,51,20,36,19,9,0.5,2,10,8,10,5,15,14,5,0,5,10,50,18,32,13,10,0.666666667,2,13,17,25,17,33,18,5,5,13,19,99,38,74,31,15,7,24,18,22,13,29,22,8,3,10,20,99,30,67,25,18,DET,POR,21300352,101,198,"SUNDAY, DECEMBER 15, 2013",02:40
2,7,6,10,7,16,9,3,1,1,7,46,17,39,13,8,133.333.333.333,9,18,7,7,6,20,13,1,3,5,8,56,11,25,19,13,1,5,15,14,20,13,34,17,5,2,9,20,93,32,68,28,20,12,27,19,25,10,34,22,7,5,9,17,101,23,53,30,19,MEM,MIN,21300351,102,194,"SUNDAY, DECEMBER 15, 2013",02:10
3,10,11,11,6,16,12,6,3,4,7,56,18,36,14,12,0.333333333,4,12,7,12,5,18,9,3,1,7,8,49,15,28,10,10,0.5,5,20,18,20,11,34,23,10,7,13,19,101,34,68,28,20,7,24,17,26,9,36,19,7,2,14,18,98,30,58,25,15,OKC,ORL,21300353,105,199,"SUNDAY, DECEMBER 15, 2013",02:17
8,15,9,14,3,17,13,6,0,5,10,59,13,28,14,11,133.333.333.333,5,10,6,10,6,20,11,1,1,10,12,53,16,33,11,10,1.5,13,27,23,34,5,40,17,13,5,12,24,106,22,52,24,21,11,22,23,33,11,39,19,6,4,20,25,102,23,58,30,19,PHX,GSW,21300355,112,208,"SUNDAY, DECEMBER 15, 2013",02:22
6,17,8,8,5,14,14,5,4,8,12,52,13,29,10,8,1.5,5,11,7,10,2,13,13,6,5,8,8,52,15,28,14,8,0,7,24,21,28,15,36,23,7,7,16,24,102,30,61,19,19,7,24,12,19,9,23,23,10,8,13,23,93,30,61,26,17,DEN,NOP,21300354,104,195,"SUNDAY, DECEMBER 15, 2013",02:12
5,11,16,22,5,16,6,3,1,4,6,49,9,28,9,8,1,4,12,6,8,14,19,9,2,5,4,12,56,19,40,15,8,133.333.333.333,6,17,20,27,9,31,18,5,4,7,20,96,29,64,23,18,8,21,18,28,20,35,15,3,7,8,20,104,31,68,30,18,IND,DET,21300356,105,200,"MONDAY, DECEMBER 16, 2013",02:23
3,11,4,5,4,13,15,6,5,9,8,47,17,33,9,8,1,2,9,6,8,8,20,9,5,2,9,6,54,21,39,13,12,1,11,27,13,15,15,29,34,10,6,10,18,114,34,65,19,18,5,21,17,22,12,31,18,6,4,14,16,100,34,61,23,21,ATL,LAL,21300357,101,214,"MONDAY, DECEMBER 16, 2013",02:01
3,9,8,9,6,15,7,1,0,5,15,51,17,35,10,9,1.5,3,11,11,19,10,15,9,3,0,4,9,50,15,34,11,7,0,7,21,18,23,14,36,19,3,3,12,25,101,31,65,24,19,8,29,15,26,19,32,22,6,0,7,20,97,29,69,27,13,BOS,MIN,21300358,101,198,"MONDAY, DECEMBER 16, 2013",02:13
8,17,10,16,4,18,16,4,0,9,8,58,12,22,11,10,1.5,4,15,4,8,4,16,10,6,0,7,11,48,16,32,12,12,1.5,21,35,15,26,4,38,35,10,2,20,20,130,26,43,37,20,8,30,12,20,8,31,21,14,0,19,24,94,29,60,17,14,BKN,PHI,21300359,106,224,"MONDAY, DECEMBER 16, 2013",02:10
3,8,8,12,1,15,10,4,5,7,6,47,15,23,15,11,1,3,10,5,7,9,14,9,4,0,6,10,50,18,35,13,10,0.5,6,15,21,26,6,35,28,10,8,14,14,117,39,56,30,27,5,18,11,17,11,22,17,7,2,14,20,94,34,66,31,17,MIA,UTA,21300360,97,211,"MONDAY, DECEMBER 16, 2013",02:03
4,14,8,11,5,12,11,7,3,4,9,42,11,33,12,11,0.5,7,10,6,7,4,25,11,3,2,13,11,53,13,26,19,12,0.5,11,30,24,31,9,26,21,9,6,9,20,101,22,49,32,18,11,18,13,17,6,35,21,4,3,19,25,102,28,54,30,21,NYK,WAS,21300361,95,203,"MONDAY, DECEMBER 16, 2013",02:17
0,7,9,12,5,19,7,1,4,1,9,35,13,36,14,6,0.666666667,2,7,7,9,8,26,11,1,3,5,10,43,15,37,9,6,1.4,5,18,21,26,7,38,19,4,5,5,20,82,23,63,26,14,5,12,12,16,9,46,21,4,3,11,20,83,28,71,23,14,CHI,ORL,21300362,78,165,"MONDAY, DECEMBER 16, 2013",02:15
5,8,7,13,3,21,17,4,4,4,11,56,17,36,14,10,0.5,2,5,11,13,4,16,10,4,2,6,9,43,13,36,18,7,0.5,8,17,17,24,5,37,26,9,6,15,26,95,27,61,24,20,4,15,23,28,9,33,18,8,4,15,23,87,26,65,30,21,CHA,SAC,21300364,99,182,"TUESDAY, DECEMBER 17, 2013",02:20
5,12,10,13,3,18,12,4,3,8,8,55,15,26,19,14,1,4,9,3,8,5,12,9,6,2,8,12,49,17,32,13,8,1.5,11,23,26,35,9,34,19,12,4,18,20,115,28,53,27,23,6,18,12,21,9,27,20,8,3,22,27,92,31,58,17,16,LAC,SAS,21300363,104,207,"MONDAY, DECEMBER 16, 2013",02:18
3,5,6,7,6,16,17,3,0,2,6,59,22,46,13,10,0,5,15,6,7,11,20,12,2,1,8,7,55,17,36,13,11,0.5,9,17,11,16,13,31,26,6,1,6,17,116,39,85,25,25,15,34,22,25,18,38,26,2,5,14,16,119,26,59,36,26,CLE,POR,21300365,114,235,"TUESDAY, DECEMBER 17, 2013",02:14
3,9,6,8,10,14,13,6,2,6,9,47,16,36,9,7,1,4,12,6,6,2,16,10,4,5,6,6,52,17,28,14,11,0.5,5,16,13,17,18,31,20,10,2,14,18,92,32,75,18,16,7,22,15,19,4,33,16,8,10,14,18,96,30,53,21,21,MEM,LAL,21300366,99,188,"TUESDAY, DECEMBER 17, 2013",02:06
1,9,5,9,10,18,14,3,3,6,10,44,18,40,11,10,0.666666667,1,10,7,9,3,23,10,4,2,6,9,52,21,36,15,14,0.5,5,19,16,22,13,30,25,9,3,15,20,93,31,68,20,17,5,22,14,20,12,41,19,10,5,18,22,105,38,66,30,21,DEN,OKC,21300367,96,198,"TUESDAY, DECEMBER 17, 2013",02:11
2,11,3,3,7,22,16,3,1,4,8,57,24,37,17,14,1.5,1,7,6,7,5,13,11,2,0,3,6,39,15,39,10,9,0.5,5,20,17,24,17,41,25,6,2,12,23,104,36,71,28,21,5,18,22,30,12,32,22,8,3,10,20,93,28,70,21,12,GSW,NOP,21300368,96,197,"TUESDAY, DECEMBER 17, 2013",02:10
0,8,7,8,2,17,8,5,0,8,12,41,17,31,14,12,2,3,8,13,14,4,18,6,5,2,6,9,52,15,32,11,8,1,5,21,18,22,5,32,21,11,0,12,20,97,32,56,32,24,5,14,25,28,6,30,13,9,2,14,21,94,27,59,25,23,MIA,IND,21300369,93,191,"WEDNESDAY, DECEMBER 18, 2013",02:30
3,7,6,6,6,18,6,3,5,4,9,39,12,39,9,9,1.5,5,12,6,7,3,20,12,2,4,6,7,49,14,31,16,12,0.5,7,15,19,20,13,35,12,7,6,10,18,82,21,71,17,14,8,21,12,15,11,36,19,5,10,16,17,86,25,62,30,15,ORL,UTA,21300370,88,168,"WEDNESDAY, DECEMBER 18, 2013",02:12
6,13,3,4,4,19,18,3,4,8,9,53,16,30,11,10,1.5,4,8,8,9,5,17,13,1,1,7,9,54,17,37,13,11,1.5,15,25,15,18,9,35,38,7,6,16,21,124,32,56,28,25,6,15,21,25,7,26,25,6,1,13,20,107,34,69,28,22,ATL,SAC,21300372,107,231,"WEDNESDAY, DECEMBER 18, 2013",02:06
5,8,10,11,3,19,15,7,1,10,10,63,19,31,12,10,0.5,4,11,10,14,7,10,11,8,3,8,7,52,15,33,13,8,1,6,18,20,22,8,33,22,8,1,18,20,106,34,63,19,17,10,27,15,20,13,23,22,14,4,16,18,109,32,62,28,20,BOS,DET,21300373,115,215,"WEDNESDAY, DECEMBER 18, 2013",02:13
2,11,7,11,8,15,8,4,1,10,9,47,17,29,14,8,0,3,6,6,8,4,10,6,4,1,12,11,37,11,31,10,7,1.5,6,23,13,18,14,29,20,8,4,14,22,95,32,62,27,17,8,15,17,24,7,28,17,7,1,18,20,97,28,63,27,19,TOR,CHA,21300371,84,192,"WEDNESDAY, DECEMBER 18, 2013",02:40
4,10,9,11,3,13,14,4,4,7,9,53,16,26,18,13,1.5,9,12,8,9,10,14,10,4,2,7,8,59,12,36,13,11,0.5,9,21,20,24,5,26,28,8,5,14,24,107,30,53,27,22,12,20,25,30,19,32,19,9,6,16,22,113,26,68,21,17,BKN,WAS,21300374,112,220,"WEDNESDAY, DECEMBER 18, 2013",02:17
4,9,8,10,6,18,7,3,5,9,9,44,12,26,22,9,1.5,6,15,3,5,5,14,12,6,2,5,11,45,12,30,11,8,1,7,19,22,30,10,38,11,3,5,19,19,87,22,46,34,17,13,35,8,11,11,29,22,11,3,9,27,87,20,54,21,15,MIL,NYK,21300375,89,174,"WEDNESDAY, DECEMBER 18, 2013",03:04
2,8,7,10,7,25,19,4,1,6,9,69,28,43,17,17,1,2,13,9,11,3,15,8,2,2,7,12,43,14,33,10,9,0.75,7,19,21,26,12,41,27,8,1,10,19,120,39,74,30,29,14,40,15,19,10,35,19,5,4,13,27,109,26,54,36,20,MIN,POR,21300376,112,229,"WEDNESDAY, DECEMBER 18, 2013",02:11
3,9,9,10,4,19,12,6,4,5,9,52,17,29,14,10,2,2,6,3,6,12,13,8,2,1,9,12,39,15,41,10,8,1,5,15,20,23,11,31,25,11,10,15,16,105,35,58,20,18,8,18,9,14,22,21,23,11,2,15,25,91,29,75,16,14,DAL,MEM,21300377,91,196,"WEDNESDAY, DECEMBER 18, 2013",02:14
5,7,7,9,3,14,11,5,3,10,8,58,18,33,15,8,133.333.333.333,6,11,3,7,6,15,14,4,0,12,7,59,19,36,11,10,0,7,15,18,24,13,29,16,8,7,19,24,101,31,67,22,18,7,18,19,24,14,32,23,10,4,18,17,108,34,69,24,17,PHX,SAS,21300378,117,209,"WEDNESDAY, DECEMBER 18, 2013",02:17
5,13,4,6,4,16,10,3,1,6,10,57,19,31,15,13,0.5,2,5,6,10,5,12,13,2,2,6,7,46,17,38,13,11,1,9,23,13,16,9,28,24,8,5,13,22,112,36,60,23,19,5,12,13,23,9,24,26,8,2,17,19,94,33,67,20,18,HOU,CHI,21300379,103,206,"WEDNESDAY, DECEMBER 18, 2013",02:21
4,13,16,18,4,23,14,3,4,7,5,52,12,23,12,11,0,6,13,3,5,7,18,14,4,0,5,11,45,12,35,11,10,1,11,29,31,36,11,38,25,4,8,9,16,108,22,49,21,20,7,20,14,20,18,37,26,6,1,11,22,95,30,73,24,17,LAC,NOP,21300380,97,203,"WEDNESDAY, DECEMBER 18, 2013",02:13
6,7,3,4,4,18,10,5,3,6,16,55,17,39,17,15,1.5,5,19,17,25,9,17,10,2,5,7,7,52,10,23,13,10,0.5,9,15,12,14,8,35,26,12,7,16,27,107,34,69,32,20,8,30,29,39,11,29,20,8,6,16,16,95,21,48,23,16,OKC,CHI,21300381,107,202,"THURSDAY, DECEMBER 19, 2013",02:24
3,12,6,6,6,18,14,5,2,12,6,51,18,32,14,10,0.5,5,12,4,4,5,15,13,5,0,8,7,53,17,36,16,14,0,8,31,10,11,13,34,26,14,4,24,21,102,34,59,32,30,11,27,13,19,9,30,21,10,2,19,11,104,29,62,28,21,GSW,SAS,21300382,104,206,"THURSDAY, DECEMBER 19, 2013",02:26
3,12,3,3,6,20,18,2,0,10,13,60,24,34,18,8,2.5,5,14,12,18,4,10,17,6,0,4,6,57,15,28,15,11,1.5,7,26,7,10,10,35,33,7,2,16,21,108,40,65,24,22,13,30,21,30,5,29,33,9,4,15,15,108,24,48,26,20,PHI,BKN,21300383,117,216,"FRIDAY, DECEMBER 20, 2013",02:38
5,14,8,10,6,20,15,5,4,3,8,55,16,32,14,11,1,2,10,6,6,5,18,10,2,7,7,8,34,11,30,8,6,1.25,10,27,18,24,10,36,32,10,7,10,20,118,35,60,25,23,3,18,12,15,17,32,21,6,8,15,17,85,32,76,13,13,ATL,UTA,21300384,89,203,"FRIDAY, DECEMBER 20, 2013",01:58
3,12,8,8,8,21,8,2,8,9,8,47,15,35,11,10,0.5,4,14,9,9,8,18,8,6,1,5,9,47,13,37,10,7,0.25,7,23,21,23,16,35,15,5,12,12,19,96,27,66,29,15,8,26,18,21,13,35,19,7,4,11,21,96,27,65,18,15,CLE,MIL,21300385,94,192,"FRIDAY, DECEMBER 20, 2013",02:33
6,11,3,5,10,20,11,5,4,11,8,59,19,37,12,10,133.333.333.333,0,6,14,14,3,13,6,8,4,9,7,44,15,33,17,12,0.5,12,23,10,17,18,26,18,7,10,17,17,106,30,67,26,18,3,10,25,28,10,33,19,12,10,12,17,116,41,74,34,24,DET,CHA,21300386,103,222,"FRIDAY, DECEMBER 20, 2013",02:10
2,9,4,6,3,14,16,7,2,7,7,52,21,31,11,8,1,2,8,7,8,9,14,7,4,1,8,7,49,18,38,12,8,1.5,9,18,6,8,9,29,28,13,3,15,14,101,34,63,22,21,11,20,14,17,14,27,15,9,3,15,13,101,27,63,20,16,DAL,TOR,21300389,101,202,"FRIDAY, DECEMBER 20, 2013",02:25
