HOME_HT_FG3M,HOME_HT_FG3A,HOME_HT_FTM,HOME_HT_FTA,HOME_HT_OREB,HOME_HT_DREB,HOME_HT_AST,HOME_HT_STL,HOME_HT_BLK,HOME_HT_TO,HOME_HT_PF,HOME_HT_PTS,HOME_HT_FG2M,HOME_HT_FG2A,HOME_HT_Best_PTS_Player,HOME_HT_Second_Best_PTS_Player,HOME_HT_Best__Players_PF,AWAY_HT_FG3M,AWAY_HT_FG3A,AWAY_HT_FTM,AWAY_HT_FTA,AWAY_HT_OREB,AWAY_HT_DREB,AWAY_HT_AST,AWAY_HT_STL,AWAY_HT_BLK,AWAY_HT_TO,AWAY_HT_PF,AWAY_HT_PTS,AWAY_HT_FG2M,AWAY_HT_FG2A,AWAY_HT_Best_PTS_Player,AWAY_HT_Second_Best_PTS_Player,AWAY_HT_Best__Players_PF,HOME_FT_FG3M,HOME_FT_FG3A,HOME_FT_FTM,HOME_FT_FTA,HOME_FT_OREB,HOME_FT_DREB,HOME_FT_AST,HOME_FT_STL,HOME_FT_BLK,HOME_FT_TO,HOME_FT_PF,HOME_FT_PTS,HOME_FT_FG2M,HOME_FT_FG2A,HOME_FT_Best_PTS_Player,HOME_FT_Second_Best_PTS_Player,AWAY_FT_FG3M,AWAY_FT_FG3A,AWAY_FT_FTM,AWAY_FT_FTA,AWAY_FT_OREB,AWAY_FT_DREB,AWAY_FT_AST,AWAY_FT_STL,AWAY_FT_BLK,AWAY_FT_TO,AWAY_FT_PF,AWAY_FT_PTS,AWAY_FT_FG2M,AWAY_FT_FG2A,AWAY_FT_Best_PTS_Player,AWAY_FT_Second_Best_PTS_Player,HOME,AWAY,GAME_ID,tot_HT,tot,date,game_time
5,11,7,9,4,14,16,1,4,11,15,48,13,28,10,8,1.75,2,6,15,17,8,18,6,8,2,5,9,57,18,37,21,7,0,6,22,20,30,10,34,25,6,5,22,28,98,30,57,24,15,6,19,29,33,10,35,9,15,4,13,24,101,27,62,42,14,UTA,OKC,21300014,105,199,"WEDNESDAY, OCTOBER 30, 2013",02:25
5,11,9,12,6,18,8,4,2,8,13,48,12,32,14,10,0.5,3,9,8,9,2,17,10,2,7,8,11,45,14,30,11,10,0,8,21,16,23,11,30,13,8,7,14,26,90,25,60,30,17,5,15,15,17,8,33,19,3,11,18,21,88,29,64,20,12,SAC,DEN,21300016,93,178,"WEDNESDAY, OCTOBER 30, 2013",02:27
0,8,8,12,3,18,10,4,3,5,7,50,21,32,16,12,1.5,5,12,5,8,7,17,11,1,2,5,7,46,13,34,18,14,0.5,4,19,14,18,11,36,18,8,5,15,17,104,39,64,26,22,8,26,17,24,11,28,19,5,5,13,14,91,25,55,32,28,PHX,POR,21300015,96,195,"WEDNESDAY, OCTOBER 30, 2013",02:08
5,15,17,24,11,14,15,8,2,10,14,68,18,30,18,12,2,4,6,13,13,6,10,13,3,0,11,17,55,15,34,16,15,2,9,28,33,50,16,28,27,15,4,18,30,126,33,57,42,23,12,21,23,33,10,23,26,7,2,24,35,115,28,55,38,22,LAC,GSW,21300019,123,241,"THURSDAY, OCTOBER 31, 2013",02:48
7,11,6,6,3,19,16,4,2,7,10,59,16,32,27,14,1,3,10,9,12,7,14,8,2,2,10,9,40,11,33,10,10,0.5,15,27,18,23,7,41,34,8,9,15,22,125,31,59,38,24,8,18,16,21,9,30,19,5,4,16,22,94,27,71,14,14,GSW,LAL,21300017,99,219,"WEDNESDAY, OCTOBER 30, 2013",02:10
1,6,11,16,1,16,13,1,4,2,11,54,20,36,12,9,2,2,6,11,14,7,17,5,1,0,5,14,49,16,37,13,12,1.5,3,12,21,34,5,32,21,7,8,15,20,90,30,61,23,15,4,18,16,22,11,31,14,9,1,17,29,84,28,66,22,21,CHA,CLE,21300020,103,174,"FRIDAY, NOVEMBER 1, 2013",02:23
0,6,3,4,5,18,12,5,2,8,7,43,20,38,12,8,1,4,9,6,6,6,19,9,4,4,13,11,38,10,32,11,8,0,3,16,17,19,13,35,20,5,3,18,16,82,28,60,18,17,9,24,10,14,13,29,20,12,8,15,24,81,22,62,22,13,CHI,NYK,21300018,81,163,"THURSDAY, OCTOBER 31, 2013",02:33
5,11,10,12,3,22,8,5,2,8,4,53,14,23,16,10,0.5,3,6,2,4,10,11,9,3,4,5,8,35,12,43,10,8,0.5,11,22,21,27,5,39,22,11,7,18,19,110,28,48,30,20,6,12,20,26,17,27,16,7,5,12,21,92,27,81,26,17,ORL,NOP,21300021,88,202,"FRIDAY, NOVEMBER 1, 2013",02:13
6,14,8,10,10,19,11,8,3,10,9,54,14,33,23,6,1,1,12,5,10,5,16,13,3,3,11,9,44,18,34,13,11,0,9,26,11,17,15,31,23,14,6,17,16,102,32,68,26,13,6,23,7,14,9,37,26,8,6,19,17,109,42,71,29,23,WAS,PHI,21300022,98,211,"FRIDAY, NOVEMBER 1, 2013",02:07
6,14,5,9,4,20,12,3,2,5,6,49,13,30,11,8,1,2,12,7,10,4,22,4,1,4,6,8,39,13,31,10,8,1,10,23,20,31,7,30,24,7,3,13,12,102,26,54,22,17,7,24,8,14,10,32,15,5,6,12,25,95,33,65,31,16,ATL,TOR,21300023,88,197,"FRIDAY, NOVEMBER 1, 2013",02:13
3,7,6,12,11,17,11,4,5,9,11,63,24,36,11,10,1.5,2,8,9,11,11,8,8,5,2,6,10,47,16,37,13,8,1,4,16,26,38,18,34,13,5,7,17,29,98,30,60,17,14,6,15,29,34,17,24,18,10,7,7,24,105,29,69,20,14,BOS,MIL,21300024,110,203,"FRIDAY, NOVEMBER 1, 2013",02:23
6,17,9,13,9,19,12,4,2,12,9,61,17,26,17,9,0.5,2,9,10,13,8,9,7,6,4,6,11,50,17,39,13,10,2,11,29,34,51,13,38,17,11,4,22,20,113,23,44,34,14,9,28,20,25,16,27,20,9,7,14,37,105,29,73,22,20,HOU,DAL,21300025,111,218,"FRIDAY, NOVEMBER 1, 2013",02:32
2,7,7,9,2,16,12,8,2,11,7,47,17,26,10,10,0.5,2,8,3,6,7,12,10,4,2,10,9,41,16,33,11,7,0.5,5,16,18,22,7,29,21,12,3,20,18,97,32,54,20,15,6,19,15,21,15,24,20,10,4,17,21,95,31,62,19,17,MEM,DET,21300026,88,192,"FRIDAY, NOVEMBER 1, 2013",02:49
3,11,18,19,9,18,11,8,2,3,9,59,16,37,14,10,1,4,13,9,11,4,15,7,2,2,13,16,39,9,24,11,7,1.5,8,20,26,33,9,35,21,14,2,15,21,100,25,57,24,15,7,31,16,19,14,28,16,5,6,21,28,81,22,52,16,13,MIN,OKC,21300027,98,181,"FRIDAY, NOVEMBER 1, 2013",02:14
4,7,5,10,1,17,12,3,2,10,11,47,15,28,9,7,133.333.333.333,3,7,10,13,2,15,12,6,0,9,10,47,14,28,11,10,1,8,16,27,39,7,33,21,5,5,18,29,101,25,52,19,19,7,14,29,36,4,26,24,10,2,15,29,100,25,53,26,21,BKN,MIA,21300028,94,201,"FRIDAY, NOVEMBER 1, 2013",02:55
3,9,9,14,13,16,5,4,4,3,9,50,16,44,14,8,1.5,8,13,4,4,8,18,16,2,3,4,10,64,18,42,21,13,1.5,6,18,20,34,20,35,14,6,5,4,19,98,30,81,24,21,14,22,11,15,16,39,25,3,5,7,25,113,30,81,25,21,DEN,POR,21300029,114,211,"FRIDAY, NOVEMBER 1, 2013",02:09
3,13,8,10,4,17,8,4,8,10,13,43,13,27,10,6,0.5,3,7,11,18,11,17,11,2,0,9,8,46,13,39,14,12,0.5,6,22,19,24,16,30,15,10,10,16,24,87,25,61,18,13,5,17,17,27,22,31,20,3,1,20,20,84,26,68,20,18,PHX,UTA,21300030,89,171,"FRIDAY, NOVEMBER 1, 2013",02:20
4,10,9,13,5,15,10,5,2,4,12,45,12,32,12,11,0.5,5,12,11,15,7,20,14,2,3,6,9,54,14,28,12,10,0.666666667,6,17,23,32,10,25,21,7,5,9,27,101,30,62,29,24,12,24,28,34,10,29,26,4,5,15,29,110,23,46,26,20,SAC,LAC,21300031,99,211,"FRIDAY, NOVEMBER 1, 2013",02:30
3,16,13,15,2,20,8,2,5,4,8,42,10,24,11,7,0.5,2,8,3,5,7,23,12,3,0,9,10,41,16,41,12,9,2,8,27,17,24,8,38,22,4,7,12,19,85,22,55,20,14,5,21,10,14,12,38,20,7,0,12,18,91,33,73,24,20,LAL,SAS,21300032,83,176,"FRIDAY, NOVEMBER 1, 2013",02:28
6,15,1,4,5,11,13,2,2,5,8,49,15,31,9,8,0.5,2,8,8,10,9,20,18,2,2,6,3,64,25,39,13,10,0.333333333,11,22,12,18,10,29,24,8,6,15,18,107,31,64,26,20,3,14,17,19,17,34,28,8,5,18,14,104,39,79,22,20,PHI,CHI,21300034,113,211,"SATURDAY, NOVEMBER 2, 2013",02:06
3,12,8,10,5,22,11,2,4,12,12,43,13,26,9,9,2.5,2,6,9,11,3,15,6,8,1,7,12,37,11,36,15,8,2.5,10,28,15,20,10,41,24,6,6,20,16,89,22,49,22,21,3,15,13,15,6,31,11,15,1,16,25,74,26,68,17,15,IND,CLE,21300033,80,163,"SATURDAY, NOVEMBER 2, 2013",02:10
3,5,17,20,6,19,14,7,9,7,12,56,15,36,16,8,0.5,1,6,12,19,4,14,6,5,2,8,12,41,13,31,12,10,0.5,7,14,24,28,8,35,30,10,18,17,26,105,30,62,25,15,3,21,21,36,14,27,13,8,4,13,22,84,27,59,22,14,NOP,CHA,21300035,97,189,"SATURDAY, NOVEMBER 2, 2013",02:11
6,10,11,12,7,20,12,4,1,7,7,49,10,33,13,11,1.5,2,8,9,10,4,20,10,3,1,7,13,43,14,33,10,8,1.5,7,19,40,46,14,31,18,12,4,11,20,111,25,61,24,21,3,16,22,26,17,34,20,6,2,17,34,99,34,71,24,23,DAL,MEM,21300036,92,210,"SATURDAY, NOVEMBER 2, 2013",02:24
4,8,4,4,4,17,15,1,3,6,10,46,15,39,10,7,1,5,12,8,12,10,21,14,2,0,8,10,51,14,33,10,9,133.333.333.333,6,17,10,18,6,32,25,7,5,13,26,90,31,67,16,14,7,23,28,38,18,42,19,6,0,17,22,99,25,56,18,17,MIL,TOR,21300037,97,189,"SATURDAY, NOVEMBER 2, 2013",02:18
3,12,7,9,9,18,11,6,3,9,16,56,20,35,14,12,2,2,10,12,17,1,11,3,2,2,12,8,40,11,21,20,7,1,4,22,21,27,15,24,12,9,6,15,25,93,30,59,18,16,9,22,27,35,9,31,16,6,7,18,23,104,25,45,24,23,UTA,HOU,21300038,96,197,"SATURDAY, NOVEMBER 2, 2013",02:21
3,8,7,9,2,19,14,3,3,11,8,50,17,29,14,12,1.5,2,4,1,2,6,10,9,4,2,8,13,39,16,42,10,7,1,8,20,17,19,7,32,29,3,7,16,15,115,37,61,25,24,6,12,5,8,12,23,24,6,2,12,25,105,41,82,24,19,POR,SAS,21300039,89,220,"SATURDAY, NOVEMBER 2, 2013",02:10
7,15,5,7,3,22,16,4,1,5,7,56,15,26,17,14,1.5,5,15,5,6,5,17,9,2,1,8,11,36,8,26,13,5,1,11,27,9,12,5,39,28,8,7,18,22,98,28,49,27,22,6,26,21,24,16,32,16,9,1,14,18,87,24,61,19,15,GSW,SAC,21300040,92,185,"SATURDAY, NOVEMBER 2, 2013",02:07
0,6,5,10,9,17,11,5,3,7,6,45,20,35,10,8,0.666666667,2,8,5,5,3,12,4,5,2,7,5,35,12,31,9,6,1,2,13,17,29,15,29,16,15,7,21,15,87,32,63,15,15,3,17,12,12,8,29,15,15,3,23,22,77,28,58,15,13,DET,BOS,21300041,80,164,"SUNDAY, NOVEMBER 3, 2013",02:15
7,16,8,9,5,11,19,5,1,6,9,61,16,24,18,13,1,5,12,5,7,8,10,12,4,1,12,12,48,14,26,10,9,1,11,27,18,27,8,24,32,9,6,16,18,103,26,43,25,24,13,31,11,16,17,24,23,8,2,20,26,96,23,52,19,18,MIA,WAS,21300042,109,199,"SUNDAY, NOVEMBER 3, 2013",02:18
3,7,2,4,3,23,12,3,2,9,11,41,15,34,13,6,1,1,8,5,5,4,20,11,3,2,6,7,38,15,36,10,7,0.5,7,17,16,22,13,41,19,7,4,15,19,107,35,72,19,19,4,17,14,15,11,32,23,5,8,12,23,86,30,72,21,16,ORL,BKN,21300043,79,193,"SUNDAY, NOVEMBER 3, 2013",02:06
1,12,11,15,6,14,9,4,2,6,9,44,15,28,13,8,0.666666667,6,16,7,9,6,18,11,4,3,13,9,45,10,22,12,10,1.5,2,18,31,37,10,31,20,8,4,15,22,103,33,64,33,21,14,37,18,22,12,31,21,11,3,23,23,96,18,43,26,21,OKC,PHX,21300044,89,199,"SUNDAY, NOVEMBER 3, 2013",02:23
8,13,4,7,3,25,18,2,1,4,11,62,17,34,9,9,0,3,9,6,15,4,20,16,4,3,3,7,49,17,35,11,10,1,9,25,20,24,6,47,27,5,7,13,24,105,29,64,18,16,9,22,14,26,10,42,26,9,3,11,22,103,31,68,22,14,LAL,ATL,21300046,111,208,"SUNDAY, NOVEMBER 3, 2013",02:17
5,16,6,7,10,14,9,2,1,8,12,49,14,31,12,12,1,5,13,13,16,5,17,14,6,1,4,7,64,18,31,18,13,0.5,9,32,11,13,14,35,21,7,3,16,26,100,31,57,22,17,10,27,29,38,10,33,23,9,1,12,16,109,25,52,34,30,NYK,MIN,21300045,113,209,"SUNDAY, NOVEMBER 3, 2013",02:18
3,8,4,4,5,22,13,7,5,11,12,55,21,36,12,10,1,4,14,10,12,1,11,9,8,2,11,7,38,8,27,16,4,0.5,5,16,10,11,11,38,22,10,12,23,24,93,34,69,19,15,5,28,19,24,12,31,21,16,5,17,15,92,29,66,23,17,CLE,MIN,21300047,93,185,"MONDAY, NOVEMBER 4, 2013",02:04
2,13,12,21,8,17,11,3,1,14,10,42,12,29,12,6,1,8,21,8,11,7,18,16,10,2,11,12,66,17,27,27,14,1,5,25,23,37,14,38,19,9,3,24,18,90,26,63,18,18,15,38,13,20,13,41,28,18,7,22,24,110,26,54,32,18,PHI,GSW,21300048,108,200,"MONDAY, NOVEMBER 4, 2013",02:09
4,9,8,10,7,11,9,3,2,10,10,46,13,32,11,9,1,3,7,9,10,4,16,8,6,5,10,12,50,16,29,16,7,2,5,15,18,22,9,27,23,6,2,18,19,95,31,59,15,15,7,20,15,18,5,28,14,9,6,17,21,88,26,50,22,16,MEM,BOS,21300049,96,183,"MONDAY, NOVEMBER 4, 2013",02:17
7,18,19,22,3,13,18,3,3,5,14,78,19,26,19,14,2.5,6,18,12,18,8,15,13,3,0,9,16,66,18,28,14,10,166.666.666.667,15,38,24,28,9,29,33,7,7,10,29,137,34,56,26,23,7,25,29,43,13,33,21,7,3,15,22,118,34,57,19,15,LAC,HOU,21300050,144,255,"MONDAY, NOVEMBER 4, 2013",02:23
4,15,8,12,11,14,10,3,1,4,8,50,15,32,13,9,1,6,10,8,9,4,17,14,3,3,7,12,52,13,29,17,8,0.5,6,21,27,33,13,27,15,4,1,15,21,95,25,51,21,18,10,23,12,14,10,28,31,7,4,11,27,104,31,60,35,20,TOR,MIA,21300051,102,199,"TUESDAY, NOVEMBER 5, 2013",02:22
3,6,11,17,5,14,13,8,2,12,15,54,17,28,19,10,2,1,8,11,15,9,9,7,4,0,12,14,38,12,29,15,13,0.5,4,11,20,32,11,28,23,11,3,15,27,104,36,67,27,12,4,18,22,30,19,28,17,6,3,20,24,88,27,64,22,21,BKN,UTA,21300052,92,192,"TUESDAY, NOVEMBER 5, 2013",02:19
